latitud,longitud,comuna
"-34,599251","-58,5009976",11
"-34,5997412","-58,5020115",11
"-34,597968","-58,4077105",2
"-34,6013757","-58,50466",11
"-34,6013565","-58,5043959",11
"-34,6033369","-58,5078273",11
"-34,5957377","-58,4150477",2
"-34,604055","-58,5087194",11
"-34,6051054","-58,5107367",11
"-34,5967541","-58,4157373",14
"-34,5967515","-58,4157941",14
"-34,5965415","-58,4201861",14
"-34,6057562","-58,5114707",11
"-34,6072701","-58,5121111",11
"-34,6122268","-58,508016",11
"-34,5963554","-58,4234637",14
"-34,5963361","-58,4236491",14
"-34,6122552","-58,5079905",11
"-34,5954514","-58,4249005",14
"-34,595286","-58,4250462",14
"-34,6120947","-58,5052431",11
"-34,6091799","-58,5023928",11
"-34,6101572","-58,5040131",11
"-34,6115883","-58,5064481",11
"-34,6114764","-58,5060126",11
"-34,6073341","-58,509612",11
"-34,6056786","-58,5110335",11
"-34,6045071","-58,512888",11
"-34,5939862","-58,4224787",14
"-34,5940485","-58,4180104",14
"-34,6346047","-58,5246019",9
"-34,58696172","-58,45005034",15
"-34,6336907","-58,5195367",9
"-34,5895374","-58,4463414",15
"-34,63339","-58,5141271",9
"-34,6323836","-58,5013452",10
"-34,5912356","-58,4481958",15
"-34,5912667","-58,448163",15
"-34,62978","-58,4950096",10
"-34,590949","-58,448531",15
"-34,5915139","-58,4480033",15
"-34,6273","-58,4913141",10
"-34,5919291","-58,4479944",15
"-34,62532","-58,4860836",10
"-34,5918608","-58,447907",15
"-34,5923775","-58,4484298",15
"-34,5920052","-58,4480674",15
"-34,5920701","-58,4481396",15
"-34,592112","-58,4491305",15
"-34,5900373","-58,4512991",15
"-34,5898482","-58,4514896",15
"-34,5898695","-58,4514618",15
"-34,6144973","-58,3858037",1
"-34,6123248","-58,3682013",1
"-34,612268","-58,371476",1
"-34,612217","-58,371633",1
"-34,612375","-58,371816",1
"-34,6125935","-58,3726291",1
"-34,612649","-58,3735362",1
"-34,612654","-58,3736167",1
"-34,612454","-58,375111",1
"-34,6125925","-58,3914533",1
"-34,6122285","-58,3859457",1
"-34,6124148","-58,3772715",1
"-34,6123364","-58,3771875",1
"-34,6119717","-58,3767971",1
"-34,6109758","-58,3757135",1
"-34,6111627","-58,3759189",1
"-34,6096757","-58,3742878",1
"-34,6095022","-58,3740991",1
"-34,6106622","-58,3750656",1
"-34,6108865","-58,3753121",1
"-34,6120754","-58,3768044",1
"-34,6122723","-58,3768145",1
"-34,636946","-58,366454",4
"-34,6369193","-58,3662333",4
"-34,6380146","-58,3629345",4
"-34,6399898","-58,3618225",4
"-34,638353","-58,359749",4
"-34,6391774","-58,360903",4
"-34,6392099","-58,3610586",4
"-34,6357951","-58,3621497",4
"-34,631111","-58,359615",4
"-34,641232","-58,360577",4
"-34,6410909","-58,3604768",4
"-34,64212","-58,363073",4
"-34,6434927","-58,3654838",4
"-34,6374202","-58,36147",4
"-34,6365156","-58,3582863",4
"-34,6365474","-58,3582673",4
"-34,6359085","-58,3584236",4
"-34,6357302","-58,358531",4
"-34,635509","-58,3586643",4
"-34,6272831","-58,3684617",1
"-34,6306497","-58,3706269",4
"-34,6333359","-58,3703695",4
"-34,6341335","-58,3631718",4
"-34,6255246","-58,4535285",6
"-34,6254752","-58,4534014",6
"-34,6253402","-58,4530539",6
"-34,6250234","-58,4522283",6
"-34,6243228","-58,4504046",6
"-34,6242324","-58,4501743",6
"-34,6240368","-58,449676",6
"-34,6229809","-58,44694",6
"-34,6228643","-58,4466432",6
"-34,6227604","-58,4463668",6
"-34,583796","-58,4494271",15
"-34,584777","-58,4471462",15
"-34,5855851","-58,4452718",15
"-34,6253602","-58,4535689",6
"-34,6252876","-58,4533821",6
"-34,6332845","-58,5293772",10
"-34,624698","-58,452731",6
"-34,5833332","-58,4473013",15
"-34,582876","-58,448831",15
"-34,6250843","-58,4528586",6
"-34,5814943","-58,4486695",15
"-34,6264251","-58,5297914",10
"-34,6264244","-58,5297914",10
"-34,5814303","-58,4488432",15
"-34,6264238","-58,5297915",10
"-34,6247771","-58,5298997",10
"-34,5828597","-58,4458649",15
"-34,6189284","-58,5302436",10
"-34,6138649","-58,5295964",10
"-34,6119249","-58,5282831",10
"-34,584021","-58,444908",15
"-34,5849004","-58,4440672",14
"-34,5849492","-58,4439936",14
"-34,5857242","-58,4437377",15
"-34,6138742","-58,525406",10
"-34,6226599","-58,4467509",6
"-34,6224871","-58,4463106",6
"-34,586913","-58,4454082",15
"-34,6226129","-58,4460027",6
"-34,5884935","-58,4460327",15
"-34,6200788","-58,5172242",10
"-34,6199792","-58,5173553",10
"-34,5888519","-58,4457709",15
"-34,6224646","-58,5140921",10
"-34,5889189","-58,4457022",15
"-34,6224118","-58,514179",10
"-34,6212991","-58,4423757",6
"-34,6212701","-58,4422927",6
"-34,6242327","-58,5118012",10
"-34,6211565","-58,4419599",6
"-34,6210534","-58,4416893",6
"-34,6267692","-58,5084923",10
"-34,5866265","-58,4414624",14
"-34,6210641","-58,4417111",6
"-34,6210071","-58,4416016",6
"-34,6319446","-58,5004834",10
"-34,6342197","-58,5062745",10
